name,url,min Durability,min Energy_Projection,min Fighting_Skills,min Intelligence,min Speed,min Strength,max Durability,max Energy_Projection,max Fighting_Skills,max Intelligence,max Speed,max Strength
Drake Shannon (Earth-616),https://marvel.fandom.com/wiki/Drake_Shannon_(Earth-616),2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
Dreadface (Earth-616),https://marvel.fandom.com/wiki/Dreadface_(Earth-616),6.0,1.0,2.0,3.0,2.0,1.0,6.0,7.0,2.0,3.0,7.0,7.0
Dreamqueen (Earth-616),https://marvel.fandom.com/wiki/Dreamqueen_(Earth-616),6.0,5.0,1.0,4.0,2.0,3.0,6.0,6.0,1.0,4.0,7.0,3.0
Dreamstalker (Earth-616),https://marvel.fandom.com/wiki/Dreamstalker_(Earth-616),7.0,2.0,2.0,1.0,3.0,2.0,7.0,2.0,2.0,1.0,3.0,2.0
Dredmund Cromwell (Earth-616),https://marvel.fandom.com/wiki/Dredmund_Cromwell_(Earth-616),2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0
Drew Daniels (Earth-616),https://marvel.fandom.com/wiki/Drew_Daniels_(Earth-616),3.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0
Drom (Earth-616),https://marvel.fandom.com/wiki/Drom_(Earth-616),2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Dromedan (Earth-616),https://marvel.fandom.com/wiki/Dromedan_(Earth-616),3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0
Droog (Earth-616),https://marvel.fandom.com/wiki/Droog_(Earth-616),7.0,1.0,4.0,4.0,2.0,7.0,7.0,1.0,4.0,4.0,2.0,7.0
Droom (Earth-616),https://marvel.fandom.com/wiki/Droom_(Earth-616),6.0,1.0,2.0,2.0,3.0,7.0,6.0,1.0,2.0,2.0,3.0,7.0
Druig (Earth-616),https://marvel.fandom.com/wiki/Druig_(Earth-616),7.0,6.0,4.0,5.0,3.0,4.0,7.0,6.0,4.0,5.0,7.0,4.0
Duane Freeman (Earth-616),https://marvel.fandom.com/wiki/Duane_Freeman_(Earth-616),2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
Duc No Tranh (Earth-616),https://marvel.fandom.com/wiki/Duc_No_Tranh_(Earth-616),2.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0
Duncan Vess (Earth-616),https://marvel.fandom.com/wiki/Duncan_Vess_(Earth-616),2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0
Durok (Earth-616),https://marvel.fandom.com/wiki/Durok_(Earth-616),6.0,3.0,4.0,2.0,2.0,7.0,6.0,3.0,4.0,2.0,2.0,7.0
Duvid Fortunov (Earth-616),https://marvel.fandom.com/wiki/Duvid_Fortunov_(Earth-616),2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0
Dwayne Taylor (Earth-616),https://marvel.fandom.com/wiki/Dwayne_Taylor_(Earth-616),2.0,1.0,6.0,4.0,2.0,2.0,5.0,1.0,6.0,4.0,3.0,2.0
Dweller-in-Darkness (Earth-616),https://marvel.fandom.com/wiki/Dweller-in-Darkness_(Earth-616),4.0,5.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0
Dylan Brock (Earth-616),https://marvel.fandom.com/wiki/Dylan_Brock_(Earth-616),2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Dynamic Man (Earth-616),https://marvel.fandom.com/wiki/Dynamic_Man_(Earth-616),5.0,2.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,5.0
Earl Everett (Earth-616),https://marvel.fandom.com/wiki/Earl_Everett_(Earth-616),2.0,2.0,3.0,6.0,2.0,3.0,2.0,2.0,3.0,6.0,2.0,3.0
Earthquake (Earth-616),https://marvel.fandom.com/wiki/Earthquake_(Earth-616),3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0
Ebenezer Laughton (Earth-616),https://marvel.fandom.com/wiki/Ebenezer_Laughton_(Earth-616),2.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0
Ebony (Earth-616),https://marvel.fandom.com/wiki/Ebony_(Earth-616),7.0,4.0,2.0,2.0,2.0,4.0,7.0,4.0,2.0,2.0,2.0,4.0
Eden Fesi (Earth-616),https://marvel.fandom.com/wiki/Eden_Fesi_(Earth-616),2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,7.0,2.0
Edith Harker (Earth-616),https://marvel.fandom.com/wiki/Edith_Harker_(Earth-616),2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0
Edith Sawyer (Earth-616),https://marvel.fandom.com/wiki/Edith_Sawyer_(Earth-616),2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,7.0,2.0
Edward Brecker (Earth-616),https://marvel.fandom.com/wiki/Edward_Brecker_(Earth-616),2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0
Edward Brock (Earth-50701),https://marvel.fandom.com/wiki/Edward_Brock_(Earth-50701),4.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0
Edward Brock (Earth-616),https://marvel.fandom.com/wiki/Edward_Brock_(Earth-616),6.0,1.0,4.0,3.0,2.0,4.0,6.0,1.0,4.0,3.0,2.0,4.0
Edward Brock Jr. (Earth-1610),https://marvel.fandom.com/wiki/Edward_Brock_Jr._(Earth-1610),4.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0
Edward Buckman (Earth-616),https://marvel.fandom.com/wiki/Edward_Buckman_(Earth-616),2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0
Edward Cobert (Earth-616),https://marvel.fandom.com/wiki/Edward_Cobert_(Earth-616),6.0,1.0,2.0,1.0,2.0,5.0,6.0,1.0,2.0,5.0,2.0,5.0
Edward Cross (Skinhead) (Earth-616),https://marvel.fandom.com/wiki/Edward_Cross_(Skinhead)_(Earth-616),5.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0
Edward Ferbel (Earth-616),https://marvel.fandom.com/wiki/Edward_Ferbel_(Earth-616),2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0
Edward Forsyth (Earth-616),https://marvel.fandom.com/wiki/Edward_Forsyth_(Earth-616),2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0
Edward Lansky (Earth-616),https://marvel.fandom.com/wiki/Edward_Lansky_(Earth-616),7.0,6.0,2.0,5.0,6.0,2.0,7.0,6.0,2.0,5.0,6.0,2.0
Edward Lavell (Earth-616),https://marvel.fandom.com/wiki/Edward_Lavell_(Earth-616),2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Edward March (Earth-616),https://marvel.fandom.com/wiki/Edward_March_(Earth-616),2.0,1.0,5.0,2.0,2.0,2.0,6.0,6.0,5.0,2.0,4.0,5.0
Edward Passim (Earth-616),https://marvel.fandom.com/wiki/Edward_Passim_(Earth-616),2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Edward Whelan (Earth-616),https://marvel.fandom.com/wiki/Edward_Whelan_(Earth-616),2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0
Edwin Cord (Earth-616),https://marvel.fandom.com/wiki/Edwin_Cord_(Earth-616),2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
Edwin Jarvis (Earth-616),https://marvel.fandom.com/wiki/Edwin_Jarvis_(Earth-616),2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0
Egros (Earth-616),https://marvel.fandom.com/wiki/Egros_(Earth-616),7.0,7.0,2.0,6.0,7.0,7.0,7.0,7.0,2.0,6.0,7.0,7.0
Eileen Harsaw (Earth-616),https://marvel.fandom.com/wiki/Eileen_Harsaw_(Earth-616),2.0,6.0,3.0,4.0,2.0,2.0,2.0,6.0,3.0,4.0,7.0,2.0
Eimin (Earth-616),https://marvel.fandom.com/wiki/Eimin_(Earth-616),6.0,1.0,3.0,3.0,3.0,5.0,6.0,1.0,3.0,3.0,3.0,5.0
Eisenhower Canty (Earth-616),https://marvel.fandom.com/wiki/Eisenhower_Canty_(Earth-616),2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0
Eitri (Earth-616),https://marvel.fandom.com/wiki/Eitri_(Earth-616),3.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0
Elaine Coll (Earth-616),https://marvel.fandom.com/wiki/Elaine_Coll_(Earth-616),3.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,5.0
Electric Eve (Earth-616),https://marvel.fandom.com/wiki/Electric_Eve_(Earth-616),2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0
Electro (Robot) (Earth-616),https://marvel.fandom.com/wiki/Electro_(Robot)_(Earth-616),6.0,2.0,3.0,2.0,2.0,6.0,6.0,2.0,3.0,2.0,2.0,6.0
Electron (Imperial Guard) (Earth-616),https://marvel.fandom.com/wiki/Electron_(Imperial_Guard)_(Earth-616),3.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0
Elektra Natchios (Earth-1610),https://marvel.fandom.com/wiki/Elektra_Natchios_(Earth-1610),2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0
Elektra Natchios (Earth-50701),https://marvel.fandom.com/wiki/Elektra_Natchios_(Earth-50701),3.0,1.0,6.0,3.0,2.0,2.0,3.0,1.0,6.0,3.0,2.0,2.0
Elektra Natchios (Earth-616),https://marvel.fandom.com/wiki/Elektra_Natchios_(Earth-616),3.0,1.0,6.0,3.0,2.0,2.0,3.0,1.0,6.0,3.0,2.0,2.0
Elektro (Earth-616),https://marvel.fandom.com/wiki/Elektro_(Earth-616),5.0,1.0,3.0,1.0,1.0,5.0,6.0,6.0,3.0,6.0,1.0,6.0
Elendil (Earth-616),https://marvel.fandom.com/wiki/Elendil_(Earth-616),2.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0
Elfqueen (Linnea) (Earth-616),https://marvel.fandom.com/wiki/Elfqueen_(Linnea)_(Earth-616),3.0,6.0,2.0,3.0,2.0,4.0,3.0,6.0,2.0,3.0,7.0,4.0
Elianne Turac (Earth-616),https://marvel.fandom.com/wiki/Elianne_Turac_(Earth-616),2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0
Elias Schleigal (Earth-616),https://marvel.fandom.com/wiki/Elias_Schleigal_(Earth-616),2.0,1.0,5.0,4.0,2.0,2.0,3.0,1.0,5.0,4.0,3.0,2.0
Elias Weems (Earth-616),https://marvel.fandom.com/wiki/Elias_Weems_(Earth-616),2.0,4.0,1.0,5.0,2.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0
Elias Wirtham (Earth-616),https://marvel.fandom.com/wiki/Elias_Wirtham_(Earth-616),4.0,3.0,3.0,6.0,2.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0
Elihas Starr (Earth-616),https://marvel.fandom.com/wiki/Elihas_Starr_(Earth-616),2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0
Elijah Bradley (Earth-616),https://marvel.fandom.com/wiki/Elijah_Bradley_(Earth-616),5.0,1.0,4.0,2.0,2.0,3.0,5.0,1.0,4.0,2.0,2.0,3.0
Elijah Stern (Earth-1610),https://marvel.fandom.com/wiki/Elijah_Stern_(Earth-1610),2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,2.0
Eliot Franklin (Clown) (Earth-616),https://marvel.fandom.com/wiki/Eliot_Franklin_(Clown)_(Earth-616),6.0,3.0,4.0,2.0,3.0,5.0,6.0,3.0,4.0,2.0,3.0,5.0
Eliphas (Earth-616),https://marvel.fandom.com/wiki/Eliphas_(Earth-616),6.0,1.0,3.0,3.0,3.0,5.0,6.0,1.0,3.0,3.0,3.0,5.0
Elizabeth Allan (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Allan_(Earth-616),2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Elizabeth Barstow (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Barstow_(Earth-616),1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0
Elizabeth Bondi (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Bondi_(Earth-616),2.0,6.0,3.0,4.0,2.0,2.0,6.0,6.0,3.0,4.0,3.0,3.0
Elizabeth Braddock (Earth-1610),https://marvel.fandom.com/wiki/Elizabeth_Braddock_(Earth-1610),2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0
Elizabeth Braddock (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Braddock_(Earth-616),6.0,5.0,4.0,2.0,4.0,6.0,6.0,5.0,4.0,2.0,4.0,6.0
Elizabeth Brant (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Brant_(Earth-616),2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
Elizabeth Rawson (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Rawson_(Earth-616),5.0,1.0,4.0,2.0,2.0,5.0,5.0,1.0,4.0,2.0,2.0,5.0
Elizabeth Ross (Earth-1610),https://marvel.fandom.com/wiki/Elizabeth_Ross_(Earth-1610),2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,6.0
Elizabeth Ross (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Ross_(Earth-616),2.0,1.0,2.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,7.0
Elizabeth Twoyoungmen (Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Twoyoungmen_(Earth-616),2.0,6.0,3.0,3.0,3.0,2.0,2.0,6.0,3.0,3.0,7.0,2.0
Elliot Boggs (Earth-1610),https://marvel.fandom.com/wiki/Elliot_Boggs_(Earth-1610),7.0,7.0,3.0,2.0,2.0,2.0,7.0,7.0,3.0,2.0,7.0,2.0
Elsa Bloodstone (Earth-616),https://marvel.fandom.com/wiki/Elsa_Bloodstone_(Earth-616),4.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0
Elsie-Dee (Earth-616),https://marvel.fandom.com/wiki/Elsie-Dee_(Earth-616),4.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,4.0,5.0,2.0,4.0
Elspeth Cromwell (Earth-616),https://marvel.fandom.com/wiki/Elspeth_Cromwell_(Earth-616),2.0,6.0,1.0,3.0,2.0,2.0,2.0,6.0,1.0,3.0,2.0,2.0
Elton Healey (Earth-616),https://marvel.fandom.com/wiki/Elton_Healey_(Earth-616),2.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0
Elton Morrow (Earth-616),https://marvel.fandom.com/wiki/Elton_Morrow_(Earth-616),7.0,1.0,2.0,2.0,6.0,5.0,7.0,1.0,2.0,2.0,6.0,5.0
Elvin Haliday (Earth-616),https://marvel.fandom.com/wiki/Elvin_Haliday_(Earth-616),5.0,1.0,3.0,2.0,3.0,6.0,5.0,1.0,3.0,2.0,3.0,6.0
Elyse Nelson (Earth-616),https://marvel.fandom.com/wiki/Elyse_Nelson_(Earth-616),2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0
Elysius (Earth-616),https://marvel.fandom.com/wiki/Elysius_(Earth-616),3.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0
Emery Schaub (Earth-616),https://marvel.fandom.com/wiki/Emery_Schaub_(Earth-616),7.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0
Emil Blonsky (Earth-616),https://marvel.fandom.com/wiki/Emil_Blonsky_(Earth-616),6.0,1.0,2.0,3.0,3.0,7.0,6.0,1.0,2.0,3.0,3.0,7.0
Emma Frost (Earth-616),https://marvel.fandom.com/wiki/Emma_Frost_(Earth-616),2.0,1.0,3.0,4.0,2.0,2.0,5.0,5.0,3.0,4.0,2.0,4.0
Empathoid (Earth-616),https://marvel.fandom.com/wiki/Empathoid_(Earth-616),7.0,1.0,2.0,2.0,2.0,3.0,7.0,1.0,2.0,2.0,2.0,3.0
Emrys Killebrew (Earth-616),https://marvel.fandom.com/wiki/Emrys_Killebrew_(Earth-616),2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0
En Dwi Gast (Earth-616),https://marvel.fandom.com/wiki/En_Dwi_Gast_(Earth-616),7.0,6.0,2.0,6.0,2.0,4.0,7.0,6.0,2.0,6.0,7.0,4.0
En Sabah Nur (Earth-295),https://marvel.fandom.com/wiki/En_Sabah_Nur_(Earth-295),7.0,1.0,4.0,5.0,2.0,6.0,7.0,1.0,4.0,5.0,2.0,6.0
En Sabah Nur (Earth-616),https://marvel.fandom.com/wiki/En_Sabah_Nur_(Earth-616),6.0,6.0,3.0,6.0,5.0,7.0,6.0,6.0,3.0,6.0,5.0,7.0
Enid Richards (Earth-1610),https://marvel.fandom.com/wiki/Enid_Richards_(Earth-1610),2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
Enmity (Earth-616),https://marvel.fandom.com/wiki/Enmity_(Earth-616),6.0,6.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,7.0,2.0
Eochaid Ollathair (Earth-616),https://marvel.fandom.com/wiki/Eochaid_Ollathair_(Earth-616),6.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,4.0,4.0,7.0,6.0
Epoch (Earth-616),https://marvel.fandom.com/wiki/Epoch_(Earth-616),6.0,6.0,2.0,6.0,7.0,4.0,6.0,6.0,2.0,6.0,7.0,4.0
Equilibrius (Earth-616),https://marvel.fandom.com/wiki/Equilibrius_(Earth-616),2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Eradica (Earth-616),https://marvel.fandom.com/wiki/Eradica_(Earth-616),5.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0
Ereshkigal (Deviant) (Earth-616),https://marvel.fandom.com/wiki/Ereshkigal_(Deviant)_(Earth-616),2.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0
Erg (Earth-616),https://marvel.fandom.com/wiki/Erg_(Earth-616),2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
Eric Brooks (Earth-616),https://marvel.fandom.com/wiki/Eric_Brooks_(Earth-616),4.0,1.0,5.0,2.0,2.0,4.0,4.0,1.0,5.0,2.0,2.0,4.0
Eric Cameron (Earth-616),https://marvel.fandom.com/wiki/Eric_Cameron_(Earth-616),1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0
Eric Gitter (Earth-616),https://marvel.fandom.com/wiki/Eric_Gitter_(Earth-616),2.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0
Eric Kleinstock (Earth-616),https://marvel.fandom.com/wiki/Eric_Kleinstock_(Earth-616),3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0
Eric Koenig (Earth-616),https://marvel.fandom.com/wiki/Eric_Koenig_(Earth-616),2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0
Eric Masterson (Earth-616),https://marvel.fandom.com/wiki/Eric_Masterson_(Earth-616),6.0,5.0,3.0,2.0,5.0,5.0,6.0,5.0,3.0,2.0,7.0,5.0
Eric O'Grady (Earth-616),https://marvel.fandom.com/wiki/Eric_O%27Grady_(Earth-616),3.0,6.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,2.0,7.0
Eric Payne (Earth-616),https://marvel.fandom.com/wiki/Eric_Payne_(Earth-616),2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,7.0,2.0
Eric Savin (Earth-616),https://marvel.fandom.com/wiki/Eric_Savin_(Earth-616),5.0,3.0,4.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0
Eric Williams (Earth-616),https://marvel.fandom.com/wiki/Eric_Williams_(Earth-616),2.0,6.0,4.0,2.0,2.0,2.0,2.0,6.0,4.0,2.0,2.0,2.0
Erica Sondheim (Earth-616),https://marvel.fandom.com/wiki/Erica_Sondheim_(Earth-616),2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0
Erik Josten (Earth-616),https://marvel.fandom.com/wiki/Erik_Josten_(Earth-616),7.0,1.0,4.0,2.0,2.0,7.0,7.0,1.0,4.0,2.0,2.0,7.0
Erik Killmonger (Earth-616),https://marvel.fandom.com/wiki/Erik_Killmonger_(Earth-616),3.0,1.0,5.0,5.0,2.0,4.0,3.0,1.0,5.0,5.0,2.0,4.0
Erik Lehnsherr (Earth-295),https://marvel.fandom.com/wiki/Erik_Lehnsherr_(Earth-295),6.0,5.0,3.0,5.0,5.0,2.0,6.0,5.0,3.0,5.0,5.0,2.0
Erik Lensherr (Earth-1610),https://marvel.fandom.com/wiki/Erik_Lensherr_(Earth-1610),3.0,5.0,3.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,2.0
Ernest Popchik (Earth-616),https://marvel.fandom.com/wiki/Ernest_Popchik_(Earth-616),2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
Ernest St. Ives (Earth-616),https://marvel.fandom.com/wiki/Ernest_St._Ives_(Earth-616),6.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0
Ernst Sablinova (Earth-616),https://marvel.fandom.com/wiki/Ernst_Sablinova_(Earth-616),3.0,1.0,5.0,3.0,2.0,3.0,3.0,1.0,5.0,3.0,2.0,3.0
Eros (Earth-616),https://marvel.fandom.com/wiki/Eros_(Earth-616),3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0
Eshu (Earth-616),https://marvel.fandom.com/wiki/Eshu_(Earth-616),4.0,6.0,4.0,6.0,3.0,4.0,6.0,6.0,4.0,6.0,7.0,4.0
Esme Cuckoo (Earth-616),https://marvel.fandom.com/wiki/Esme_Cuckoo_(Earth-616),2.0,5.0,2.0,3.0,2.0,2.0,6.0,5.0,2.0,3.0,2.0,4.0
Esteban Corazón de Ablo (Earth-616),https://marvel.fandom.com/wiki/Esteban_Coraz%C3%B3n_de_Ablo_(Earth-616),3.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,7.0,2.0
Eternity (Earth-616),https://marvel.fandom.com/wiki/Eternity_(Earth-616),7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0
Ethan Edwards (Earth-616),https://marvel.fandom.com/wiki/Ethan_Edwards_(Earth-616),6.0,3.0,2.0,3.0,5.0,6.0,6.0,3.0,2.0,3.0,5.0,6.0
Ethan Warren (Earth-616),https://marvel.fandom.com/wiki/Ethan_Warren_(Earth-616),4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0
Eugene Judd (Earth-616),https://marvel.fandom.com/wiki/Eugene_Judd_(Earth-616),3.0,1.0,6.0,3.0,3.0,4.0,3.0,1.0,6.0,3.0,3.0,4.0
Eugene Patilio (Earth-616),https://marvel.fandom.com/wiki/Eugene_Patilio_(Earth-616),3.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0
Eugene Thompson (Earth-616),https://marvel.fandom.com/wiki/Eugene_Thompson_(Earth-616),2.0,1.0,3.0,2.0,1.0,2.0,6.0,1.0,3.0,2.0,2.0,4.0
Evelyn Necker (Earth-8410),https://marvel.fandom.com/wiki/Evelyn_Necker_(Earth-8410),2.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,5.0,7.0,2.0
Everett Thomas (Earth-616),https://marvel.fandom.com/wiki/Everett_Thomas_(Earth-616),2.0,2.0,2.0,3.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0
Ex Nihilo (Earth-616),https://marvel.fandom.com/wiki/Ex_Nihilo_(Earth-616),3.0,4.0,2.0,6.0,2.0,4.0,3.0,4.0,2.0,6.0,2.0,4.0
Extermina (Earth-616),https://marvel.fandom.com/wiki/Extermina_(Earth-616),5.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0
Extirpia (Earth-616),https://marvel.fandom.com/wiki/Extirpia_(Earth-616),5.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0
Eye Killers (Earth-616),https://marvel.fandom.com/wiki/Eye_Killers_(Earth-616),3.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0
Ezekiel Sims (Earth-616),https://marvel.fandom.com/wiki/Ezekiel_Sims_(Earth-616),3.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,4.0
Ezekiel Stane (Earth-616),https://marvel.fandom.com/wiki/Ezekiel_Stane_(Earth-616),5.0,6.0,2.0,5.0,3.0,5.0,5.0,6.0,2.0,5.0,3.0,5.0
F.R. Crozier (Earth-616),https://marvel.fandom.com/wiki/F.R._Crozier_(Earth-616),3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0
Fabian Cortez (Earth-616),https://marvel.fandom.com/wiki/Fabian_Cortez_(Earth-616),2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0
Fabian Marechal-Julbin (Earth-616),https://marvel.fandom.com/wiki/Fabian_Marechal-Julbin_(Earth-616),2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
Fabian Stankiewicz (Earth-616),https://marvel.fandom.com/wiki/Fabian_Stankiewicz_(Earth-616),1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0
Faceless One (Earth-616),https://marvel.fandom.com/wiki/Faceless_One_(Earth-616),4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,7.0,3.0
Fader (Earth-616),https://marvel.fandom.com/wiki/Fader_(Earth-616),2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
Fafnir (Nastrond) (Earth-616),https://marvel.fandom.com/wiki/Fafnir_(Nastrond)_(Earth-616),6.0,6.0,4.0,2.0,2.0,7.0,6.0,6.0,4.0,2.0,2.0,7.0
Fahnbullah Eddy (Earth-616),https://marvel.fandom.com/wiki/Fahnbullah_Eddy_(Earth-616),2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0
